ad_id,street_name,price,address,bedrooms,bathrooms,reception,link,subway_station,distance,efficient,average_epc_B,average_epc_C,average_epc_D,average_epc_E,average_epc_F,tube_line_Bakerloo,tube_line_Central,tube_line_Circle,tube_line_DLR,tube_line_District,tube_line_Hammersmith & City,tube_line_Jubilee,tube_line_Kew Gardens,tube_line_London Overground,tube_line_London Underground,tube_line_Metropolitan,tube_line_Northern,tube_line_Piccadilly,tube_line_Victoria,tube_line_nan
143620,The Avenue,1350000.0,"Lower Sunbury, TW16",5,2,2,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-the-avenue-sunbury-on-thames-tw16/143620,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143620,The Avenue,1350000.0,"Lower Sunbury, TW16",5,2,2,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-the-avenue-sunbury-on-thames-tw16/143620,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143620,The Avenue,1350000.0,"Lower Sunbury, TW16",5,2,2,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-the-avenue-sunbury-on-thames-tw16/143620,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152236,Cromwell Road,3500000.0,"South Kensington, SW7",3,3,2,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-cromwell-road-london-sw7/152236,Gloucester Road,0.19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
152236,Cromwell Road,3500000.0,"South Kensington, SW7",3,3,2,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-cromwell-road-london-sw7/152236,Gloucester Road,0.19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160674,Cromwell Road,3500000.0,"South Kensington, SW7",4,3,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-cromwell-road-london-sw7/160674,Gloucester Road,0.19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160674,Cromwell Road,3500000.0,"South Kensington, SW7",4,3,1,https://www.dexters.co.uk/property-for-sale/flat-for-sale-in-cromwell-road-london-sw7/160674,Gloucester Road,0.19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130126,Elgin Avenue,3250000.0,"Maida Vale, W9",8,3,5,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-elgin-avenue-maida-vale-w9/130126,Maida Vale,0.34,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137686,Abbotsbury Close,3250000.0,"Holland Park, W14",5,4,2,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-abbotsbury-close-london-w14/137686,Kensington (Olympia),0.28,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151336,Edith Grove,3200000.0,"Chelsea, SW10",4,3,3,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-edith-grove-london-sw10/151336,Fulham Broadway,0.59,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
161291,Clapham Common North Side,3200000.0,"Clapham, SW4",16,4,2,https://www.dexters.co.uk/property-for-sale/house-for-sale-in-clapham-common-north-side-london-sw4/161291,Clapham Common,0.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122517,Catherine Place,3100000.0,"Westminster, SW1E",5,3,5,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-catherine-place-london-sw1e/122517,Victoria,0.22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116025,East Smithfield,3000000.0,"Wapping, E1W",5,4,2,https://www.dexters.co.uk/property-for-sale/property-for-sale-in-east-smithfield-st-katherines-docks-e1w/116025,Tower Gateway,0.27,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
